Qty,Value,Device,Package,Parts,Description,DIGIKEY,MOUSER,NEWARK,SPARKFUN
1,12pF,CAPACITOR,0402_CAP,C1,0402 Capacitor,,,,
1,470pF,CAPACITOR,0402_CAP,C2,0402 Capacitor,,,,
1,10nF,CAPACITOR,0402_CAP,C3,0402 Capacitor,490-1312-1-ND,,,
6,0.1uF,CAPACITOR,0402_CAP,"C4, C5, C6, C7, C8, C9",0402 Capacitor,490-1318-1-ND,,,
2,0.1uF,CAPACITOR,0402_CAP,"C10, C11",0402 Capacitor,,,,
1,.1uF,C-EUC0402,C0402,C12,"CAPACITOR, European symbol",490-1318-1-ND,,,
3,4.7uF,CAPACITOR,0402_CAP,"C13, C14, C15",0402 Capacitor,,,,
1,10uF,CAPACITOR,0402_CAP,C16,0402 Capacitor,445-8919-1-ND,,,
1,22uF,CAP_POL0603,CAP0603,C17,,511-1493-1-ND,,,
2,10uF,CAPACITOR0603_CAP,0603_CAP,"C19, C20",0603 Capacitor,490-7316-1-ND,,,
3,SFH4056,SFH4056,SFH4056,"D1, D2, D3",LED IR EMITTER 850NM,475-3042-1-ND,,,
4,MOUNT-PAD-ROUND3.2,MOUNT-PAD-ROUND3.2,"3,2-PAD","H5, H6, H7, H8","MOUNTING PAD, round",,,,
2,CON_HEADER_2X05-SMD+SHROUDED,CON_HEADER_2X05-SMD+SHROUDED,PINSHRD_SMT_2X05,"J1, J2",2x05 pin header,S9185-ND,,,
1,TC2030-CC2538-BL-NL,TC2030-CC2538-BL-NL,TC2030-IDC-NL,J3,Tag connect programmer for the CC2538 bootloader.,,,,
1,JUMPER-PTH-2-NO,JUMPER-PTH-2-NO,PTH-JUMPER-2-NO_NO_SILK,J4,,,,,
1,PINHD-2X8/SMD,PINHD-2X8/SMD,2X8/SMD,J5,,,,,
1,CON_HEADER_2X05-PTH+SHROUDED_A,CON_HEADER_2X05-PTH+SHROUDED_A,PINSHRD_PTH_2X05,J6,2x05 pin header,,,,
1,,PINHD-1X1,1X01,J7,PIN HEADER,,,,
1,JST_2MM_MALE,JST_2MM_MALE,JST-2-SMD,J8,Mates to single-cell LiPo batteries,,,,PRT-08612
1,2.2uH,MIPSZ2012D,MIPSZ201D,L1,FDK Multi-layer Power Inductor (Very Small Type),,,,
2,UMICH_SOLID_TINY,UMICH_SOLID_TINY,UMICH_SOLID_50MIL,"LOGO1, LOGO2",,,,,
1,BBB_HEADER,BBB_HEADER,BBB_HEADERS,P9/P8,Beaglebone Black P9 Pin Header,,,,
1,,ELECTRET,ELECTRET_9.7,Q1,Electret microphone,,,,
1,22,RESISTOR0402_RES,0402_RES,R1,Resistor,,,,
1,30,RESISTOR0402_RES,0402_RES,R2,Resistor,RHM30CECT-ND,,,
1,2.2k,RESISTOR0402_RES,0402_RES,R3,Resistor,,,,
1,4.99k,RESISTOR0402_RES,0402_RES,R4,Resistor,,,,
6,10k,RESISTOR0402_RES,0402_RES,"R5, R6, R7, R8, R9, R66",Resistor,RHM10.0KCDCT-ND,,,
1,1M,RESISTOR0402_RES,0402_RES,R10,Resistor,RHM1.0MCECT-ND,,,
1,LPS331AP,LPS331AP,HCLGA-16/3MM,U1,IC PRESSURE SENSOR PIEZO 16HCLGA,497-12927-1-ND,,,
1,MPU-9250,MPU-9250,QFN-24/3MM,U2,GYRO/ACCEL/COMPASS/9-AXIS,1428-1019-1-ND,,,
1,SI1147,SI1147,QFN-10/2MM,U3,SENSOR DGTL UV INDEX 10QFN,336-2624-1-ND,,,
1,SI7021,SI7021,DFN-6/3MM,U4,IC TEMP SENSOR RH 2% DFN,336-2542-1-ND,,,
1,ATUM,ATUM,ATUM,U5,Atum sensorboard prototyping module.,,,,
1,AMN41121,AMN41121,AMN2,U6,Passive infrared human detection sensor with built-in amp.,255-2651-ND,,,
1,CAT24C256WI-GT3,CAT24C256WI-GT3,CAT24C256WI-GT3,U7,"256kb Serial CMOS EEPROM, organized as 32,768 words of 8 bits each",,,,
1,OPA344,OPA344,SOT23-5,U8,Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.,,,,
1,ADC121C021,ADC121C021,ADC121C021,U9,,,,,
1,TPS62740,TPS62740,R-PWSON-12,U10,360nA Step Down Converter for Low Power Applications,296-37134-1-ND,595-TPS62740DSST,27X9745,
1,DMG1013UW-7,DMG1013UW-7,SOT-323,U11,P-CH Mosfet 20V 820MA SOT323,DMG1013UW-7DICT-ND,,,
